id,url,occupation,wikiid
Rimvydas Turčinskas,https://en.wikipedia.org/wiki/Rimvydas_Tur%C4%8Dinskas,physician,http://www.wikidata.org/entity/Q980933
Sorin Oprescu,https://en.wikipedia.org/wiki/Sorin_Oprescu,physician,http://www.wikidata.org/entity/Q980828
Johannes Schenck von Grafenberg,https://en.wikipedia.org/wiki/Johannes_Schenck_von_Grafenberg,physician,http://www.wikidata.org/entity/Q90983
Salomon Moos,https://en.wikipedia.org/wiki/Salomon_Moos,physician,http://www.wikidata.org/entity/Q90919
Ronald Ross,https://en.wikipedia.org/wiki/Ronald_Ross,physician,http://www.wikidata.org/entity/Q102034
Władysław Kosiniak-Kamysz,https://en.wikipedia.org/wiki/W%C5%82adys%C5%82aw_Kosiniak-Kamysz,physician,http://www.wikidata.org/entity/Q1374797
Euphorbus,https://en.wikipedia.org/wiki/Euphorbus_(physician),physician,http://www.wikidata.org/entity/Q1374110
Eugène Fiset,https://en.wikipedia.org/wiki/Eug%C3%A8ne_Fiset,physician,http://www.wikidata.org/entity/Q1373480
Eugen Liebendörfer,https://en.wikipedia.org/wiki/Eugen_Liebend%C3%B6rfer,physician,http://www.wikidata.org/entity/Q1372725
Konrad Lorenz,https://en.wikipedia.org/wiki/Konrad_Lorenz,physician,http://www.wikidata.org/entity/Q78496
Fritz Pregl,https://en.wikipedia.org/wiki/Fritz_Pregl,physician,http://www.wikidata.org/entity/Q78482
Francis Collins,https://en.wikipedia.org/wiki/Francis_Collins,physician,http://www.wikidata.org/entity/Q336658
"Ilora Finlay, Baroness Finlay of Llandaff","https://en.wikipedia.org/wiki/Ilora_Finlay,_Baroness_Finlay_of_Llandaff",physician,http://www.wikidata.org/entity/Q336501
Charles Blagden,https://en.wikipedia.org/wiki/Charles_Blagden,physician,http://www.wikidata.org/entity/Q1063743
Charles Alston,https://en.wikipedia.org/wiki/Charles_Alston_(botanist),physician,http://www.wikidata.org/entity/Q1063554
Charles Aloysius Ramsay,https://en.wikipedia.org/wiki/Charles_Aloysius_Ramsay,physician,http://www.wikidata.org/entity/Q1063549
